date,open,high,low,close,volume
2021-04-23,2693.0187051996654,2705.1611405854287,2680.919678004019,2696.921630859375,1615309
2021-04-26,2690.4601225628116,2734.6498711860604,2678.317687359321,2689.3759765625,2490260
2021-04-27,2693.8867683264484,2719.9930963372362,2691.2848171657984,2716.43701171875,1471417
2021-04-28,2732.005223147303,2732.915948373883,2699.0905843667165,2709.585205078125,1639037
2021-04-29,2728.2325808368805,2738.423556113337,2693.4530826412783,2701.909423828125,1621395
2021-04-30,2687.815218760269,2716.480086208157,2619.297179947084,2632.87060546875,3072305
2021-05-03,2623.546884404149,2649.6532085721415,2605.4200453521157,2634.04150390625,1545831
2021-05-04,2656.4181368141667,2680.009113195754,2632.3066856145997,2645.099609375,1990777
2021-05-05,2662.663121026859,2688.1621554674107,2647.3982575233513,2684.953125,1939289
2021-05-06,2693.4525440741136,2718.171074908476,2666.132062625608,2698.613037109375,1791671
2021-05-07,2717.3036132564257,2740.5911547111386,2698.916538912284,2717.216796875,1912540
2021-05-10,2728.5357580964887,2744.364292675277,2710.365510066464,2728.1455078125,2137153
2021-05-11,2710.3654114839755,2713.054178671087,2681.006648647862,2708.283935546875,2415625
2021-05-12,2706.0294572307166,2706.0294572307166,2663.1840755235025,2677.928466796875,1978558
2021-05-14,2687.3810766733573,2687.3810766733573,2636.6430444043913,2646.6171875,2043935
2021-05-17,2649.6536066244958,2667.1733688098307,2633.1745825571097,2662.446533203125,2890462
2021-05-18,2688.6826578984287,2709.498265572481,2669.601684197214,2678.96875,2098538
2021-05-19,2674.8054346558647,2704.2942105243146,2660.1478631142904,2673.07080078125,1986041
2021-05-20,2660.1482702713383,2678.9690083421133,2647.138514220481,2653.990234375,2329027
2021-05-21,2654.857338024722,2678.448318084365,2649.7402524216727,2671.77001953125,1685566
2021-05-24,2672.63671875,2693.0186635465684,2664.3972091513874,2672.63671875,1652260
2021-05-25,2694.8618248735547,2726.4558550002257,2686.233471414257,2714.0361328125,1841613
2021-05-26,2719.265035074007,2758.4852038491126,2705.1458168715753,2752.820068359375,1923753
2021-05-27,2755.8278767357083,2804.460945714795,2755.697227906956,2771.5595703125,5959785
2021-05-28,2779.8392154711028,2787.247471728041,2732.905648071262,2739.834716796875,1763701
2021-05-31,2745.4122790029396,2763.14859899798,2726.76099180802,2753.386962890625,1652799
2021-06-01,2761.6235129033576,2762.7999905568436,2729.7243501352878,2748.027099609375,1377441
2021-06-02,2746.1534549045496,2753.648739260087,2714.9079603598843,2727.501953125,2240078
2021-06-03,2749.3781612728867,2749.3781612728867,2721.575284562109,2737.786376953125,1281706
2021-06-04,2726.238269135189,2751.382847235814,2723.62359048832,2739.96533203125,1836060
2021-06-07,2741.0543731367998,2780.666706179255,2731.1186808720404,2774.347900390625,2559821
2021-06-08,2787.247081931434,2816.0085433772556,2777.8341974470977,2789.120849609375,2574057
2021-06-09,2790.733481057388,2806.421551844094,2776.962798587997,2789.208251953125,1710925
2021-06-10,2797.70592135876,2809.9077540375833,2782.88941024876,2803.632568359375,1874324
2021-06-11,2799.056705258424,2883.9901284053785,2798.577305019544,2853.311279296875,3452954
2021-06-14,2857.843727351782,2883.7290030941417,2850.304822455383,2855.5341796875,1847360
2021-06-15,2874.4028886376045,2874.4028886376045,2833.918997241148,2843.680419921875,1304985
2021-06-16,2843.1141682171474,2871.526878629887,2835.182892105408,2853.790771484375,1635552
