date,open,high,low,close,volume
2022-06-23,1144.3779613702993,1148.905326422505,1112.5043100555831,1121.581787109375,19446323
2022-06-24,1128.429884986889,1142.5351607614082,1122.9696539988313,1137.5528564453125,14240234
2022-06-27,1157.9829545073123,1157.9829545073123,1129.135125114688,1134.185791015625,15474529
2022-06-28,1129.3853215361614,1152.9776391694047,1129.3853215361614,1150.1337890625,13572847
2022-06-29,1140.8062890806102,1181.6664368341112,1137.9851854445403,1173.9993896484375,19205146
2022-06-30,1173.9310028878358,1190.2659611777156,1167.5608938992502,1181.052001953125,23112959
2022-07-01,1171.6105762032093,1179.3912376535845,1076.1035827419444,1095.987548828125,81997149
2022-07-04,1082.4506733389208,1111.1391472548082,1076.6037450673573,1098.2623291015625,41857728
2022-07-05,1102.4941121326237,1121.5590649917854,1099.8094906293034,1107.157958984375,17647327
2022-07-06,1101.1746251311279,1111.1166075291421,1086.5687955560873,1097.4207763671875,23943726
2022-07-07,1103.8135967687947,1107.1578795789183,1080.6534724660446,1086.6141357421875,23301033
2022-07-08,1100.2191487523794,1100.2191487523794,1084.0889121323955,1088.1158447265625,19010108
2022-07-11,1081.336087585235,1105.1331283386687,1078.3785026593284,1102.9036865234375,13847467
2022-07-12,1093.8487904297283,1110.0927598985188,1093.8487904297283,1101.333740234375,10778989
2022-07-13,1104.4507905221294,1107.4993634434227,1079.7436294761944,1081.8138427734375,14224132
2022-07-14,1086.5687619025882,1107.4765795757364,1081.540843303509,1090.7320556640625,16970315
2022-07-15,1098.8540583216684,1098.8540583216684,1084.33921677306,1092.847900390625,9603210
2022-07-18,1101.584037969047,1103.4040345430283,1088.525123257814,1102.15283203125,15160908
2022-07-19,1092.1652674583531,1113.4144080582162,1092.1652674583531,1108.9097900390625,16439888
2022-07-20,1155.730530749646,1156.8679986086788,1131.2735877067614,1138.89501953125,23924246
2022-07-21,1134.8000189659344,1137.5301345200253,1122.6512213878611,1131.29638671875,16523230
2022-07-22,1137.5301221641155,1144.9468316984942,1135.2550660118313,1138.940673828125,10969995
2022-07-25,1122.7195298133436,1122.7195298133436,1093.3940142099802,1101.3111572265625,23110452
2022-07-26,1101.629669898458,1112.003964591019,1097.193292295004,1101.8116455078125,11303288
2022-07-27,1101.1064630855503,1104.314264889533,1092.9389830261998,1100.7652587890625,8655086
2022-07-28,1108.4093537574902,1122.9469424061926,1101.5841851617515,1118.0101318359375,12496073
2022-07-29,1126.0181765545474,1145.3107190485075,1121.149607208918,1141.829833984375,15130683
2022-08-01,1146.2435722402156,1177.4574449449278,1140.9881839019702,1171.5877685546875,15700044
2022-08-02,1170.5184018297261,1186.580275301345,1165.535977507085,1176.0467529296875,13917913
2022-08-03,1183.0311881851292,1187.5813002703721,1168.220637135406,1185.9205322265625,14250977
2022-08-04,1187.5813052958538,1191.107684300821,1153.455464512121,1170.245361328125,14467127
2022-08-05,1172.1110567812314,1173.3850064214535,1149.792686697798,1153.00048828125,13942438
2022-08-08,1151.6354129424305,1175.546309977684,1151.6354129424305,1168.0841064453125,10165178
2022-08-10,1172.5204636099309,1178.4356336498447,1163.4884798945134,1175.068603515625,10724688
2022-08-11,1184.4416775272762,1187.5357439542797,1174.02189010763,1178.9815673828125,8198226
2022-08-12,1178.6176057306407,1201.845973401522,1174.9321182963517,1198.046630859375,12650587
2022-08-16,1204.052862906299,1209.1035287580976,1195.4531911057852,1206.3734130859375,6607378
2022-08-17,1212.6070521185068,1218.0216687174445,1208.3071564277768,1212.67529296875,6595965
2022-08-18,1214.2810405952932,1218.3894546289891,1205.24240897424,1214.87451171875,7410035
2022-08-19,1209.7159828214287,1215.0569809988342,1189.1507309375147,1193.213623046875,9460724
2022-08-22,1194.6517009933089,1201.1795211355932,1180.500282384016,1189.904052734375,9471680
2022-08-23,1184.1522321085429,1211.1768414672938,1182.9424687305054,1208.2552490234375,9678484
2022-08-24,1205.1968562417935,1218.846089361482,1203.0284828486285,1205.0369873046875,10369622
2022-08-25,1209.2366122809538,1215.6046836675666,1197.2079256645413,1201.5218505859375,7871946
2022-08-26,1201.9555917154182,1209.716117387308,1190.0867726380989,1195.108154296875,10742038
2022-08-29,1180.0437597555986,1211.9985882371661,1176.8711343003506,1185.8184814453125,19838975
2022-08-30,1193.2823008817281,1207.547826665914,1176.2092881324143,1204.21533203125,23139054
2022-09-01,1178.9710757031155,1189.150886984996,1164.385933490136,1168.81396484375,19909939
2022-09-02,1168.8139049237643,1175.638520959865,1152.9734784565321,1155.1646728515625,12999345
2022-09-05,1155.3929766209455,1178.446101569222,1155.3929766209455,1173.1051025390625,11327815
2022-09-06,1174.5658588505653,1189.6302455363334,1174.1093147173583,1185.4532470703125,10899618
2022-09-07,1175.478839783805,1184.563114237557,1173.1963605855797,1178.5601806640625,7488501
2022-09-08,1181.527366464761,1185.978218827882,1173.6528558204227,1180.226318359375,7057077
2022-09-09,1191.4561604892992,1191.4561604892992,1170.4573041604863,1172.8768310546875,8314850
